127.0.0.1 - - [09/Jan/2023:09:35:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jan/2023:09:35:45 +0900] "GET /me/ HTTP/1.1" 200 12612
0:0:0:0:0:0:0:1 - - [09/Jan/2023:09:35:45 +0900] "GET /resources/css/normalize.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Jan/2023:09:35:45 +0900] "GET /me/resource/css/styles.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:09:35:45 +0900] "GET /me/resources/img/main.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:09:35:45 +0900] "GET /me/resources/img/main2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:09:35:45 +0900] "GET /me/resources/img/main3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:09:35:45 +0900] "GET /me/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:09:35:45 +0900] "GET /me/resources/img/main12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:09:35:45 +0900] "GET /me/resources/img/main11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:09:35:45 +0900] "GET /me/resources/img/main4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:09:35:45 +0900] "GET /me/resources/img/main13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:09:35:45 +0900] "GET /me/resources/img/main6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:09:35:45 +0900] "GET /me/resources/img/main8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:09:35:45 +0900] "GET /me/resources/img/main7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:09:35:45 +0900] "GET /me/resources/img/foot_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:09:35:46 +0900] "GET /me/resources/img/favicon.ico HTTP/1.1" 200 1086
